ean,name,full_name,shelf_key,shelf_name,position,source_sheet,image_url,image_local,package_status,notes
4058075594784,Ledvance,,ledvance,Ledvance,5,Ledvance,https://www.ledvance.com/00_Free_To_Use/13029851/image-thumb__13029851__product_detail/4058075594784_290_SH%20FC%20WF%20MULTI%20POWER%20SOCKET%20EU%20MiPRC.webp,fotki/miniatury/4058075594784.jpg,zweryfikowane_ledvance,
4058075532120,Ledvance,,ledvance,Ledvance,6,Ledvance,https://www.ledvance.com/00_Free_To_Use/13055877/image-thumb__13055877__product_detail/4058075532120_290_SH%20FC%20WIFI%20OUTDOOR%20PLUG%20EU%20MiPRC.webp,fotki/miniatury/4058075532120.jpg,zweryfikowane_ledvance,
4099854293238,Ledvance,,ledvance,Ledvance,7,Ledvance,,fotki/placeholdery/4099854293238.jpg,miniatura_robocza,
4099854088537,Ledvance,,ledvance,Ledvance,8,Ledvance,https://www.ledvance.com/00_Free_To_Use/13132321/image-thumb__13132321__product_details_downloads/4099854088537_255_SH%20FC%20WIFI%20PLUG%20EU%20PV%20MiPRC.jpg,fotki/miniatury/4099854088537.jpg,zweryfikowane_ledvance,
4058075486010,Ledvance,,ledvance,Ledvance,9,Ledvance,https://www.ledvance.com/Energy%20Labels/13030871/image-thumb__13030871__product_details_downloads/EL-4058075486010-AC33925~-~page-1.jpg,fotki/miniatury/4058075486010.jpg,zweryfikowane_ledvance,
4058075486034,Ledvance,,ledvance,Ledvance,10,Ledvance,https://www.ledvance.com/Energy%20Labels/13030873/image-thumb__13030873__product_details_downloads/EL-4058075486034-AC33926~-~page-1.jpg,fotki/miniatury/4058075486034.jpg,zweryfikowane_ledvance,
4058075485693,Ledvance,,ledvance,Ledvance,11,Ledvance,https://www.ledvance.com/Energy%20Labels/13030874/image-thumb__13030874__product_details_downloads/EL-4058075485693-AC33927~-~page-1.jpg,fotki/miniatury/4058075485693.jpg,zweryfikowane_ledvance,
4058075486058,Ledvance,,ledvance,Ledvance,12,Ledvance,https://www.ledvance.com/Energy%20Labels/13030875/image-thumb__13030875__product_details_downloads/EL-4058075486058-AC33927~-~page-1.jpg,fotki/miniatury/4058075486058.jpg,zweryfikowane_ledvance,
4058075609754,Ledvance,,ledvance,Ledvance,13,Ledvance,https://www.ledvance.com/00_Free_To_Use/13017310/image-thumb__13017310__product_detail/4058075609754_290_SH%20FC%20WIFI%20B40D%204%20827%20FICL%20E14%20MiPRC.webp,fotki/miniatury/4058075609754.jpg,zweryfikowane_ledvance,
4058075778559,Ledvance,,ledvance,Ledvance,14,Ledvance,https://www.ledvance.com/00_Free_To_Use/13070117/image-thumb__13070117__product_details_downloads/4058075778559_255_SH%20FC%20WIFI%20B40%204%209W%20DIM%20E14%201%20MiPRC.jpg,fotki/miniatury/4058075778559.jpg,zweryfikowane_ledvance,
4058075778597,Ledvance,,ledvance,Ledvance,15,Ledvance,https://www.ledvance.com/00_Free_To_Use/13070130/image-thumb__13070130__product_details_downloads/4058075778597_255_SH%20FC%20WIFI%20B40%204%209W%20RGBW%20E14%201%20MiPRC.jpg,fotki/miniatury/4058075778597.jpg,zweryfikowane_ledvance,
4058075779075,Ledvance,,ledvance,Ledvance,16,Ledvance,https://www.ledvance.com/00_Free_To_Use/13070254/image-thumb__13070254__product_details_downloads/4058075779075_255_SH%20FC%20WIFI%20B40%204%209W%20RGBW%20E14%203%20MiPRC.jpg,fotki/miniatury/4058075779075.jpg,zweryfikowane_ledvance,
4058075609778,Ledvance,,ledvance,Ledvance,17,Ledvance,https://www.ledvance.com/00_Free_To_Use/13017318/image-thumb__13017318__product_detail/4058075609778_290_SH%20FC%20WIFI%20P40D%204%20827%20FICL%20E14%20MiPRC.webp,fotki/miniatury/4058075609778.jpg,zweryfikowane_ledvance,
4058075778610,Ledvance,,ledvance,Ledvance,18,Ledvance,https://www.ledvance.com/00_Free_To_Use/13070137/image-thumb__13070137__product_details_downloads/4058075778610_255_SH%20FC%20WIFI%20P40%204%209W%20DIM%20E14%201%20MiPRC.jpg,fotki/miniatury/4058075778610.jpg,zweryfikowane_ledvance,
4058075778658,Ledvance,,ledvance,Ledvance,19,Ledvance,https://www.ledvance.com/00_Free_To_Use/13070146/image-thumb__13070146__product_details_downloads/4058075778658_255_SH%20FC%20WIFI%20P40%204%209W%20RGBW%20E14%201%20MiPRC.jpg,fotki/miniatury/4058075778658.jpg,zweryfikowane_ledvance,
4058075609792,Ledvance,,ledvance,Ledvance,20,Ledvance,https://www.ledvance.com/00_Free_To_Use/13017326/image-thumb__13017326__product_detail/4058075609792_290_SH%20FC%20WIFI%20P40D%204%20827%20FICL%20E27%20MiPRC.webp,fotki/miniatury/4058075609792.jpg,zweryfikowane_ledvance,
4058075610521,Ledvance,,ledvance,Ledvance,21,Ledvance,https://www.ledvance.com/00_Free_To_Use/13017363/image-thumb__13017363__product_detail/4058075610521_290_SH%20FC%20WIFI%20A53D%206%20824%20FIGD%20E27%20MiPRC.webp,fotki/miniatury/4058075610521.jpg,zweryfikowane_ledvance,
